tx_id,tx_size,tx_fee
273,1036,9594
274,202,40946
275,1831,19270
276,236,14411
277,921,53740
278,1029,3818
279,1990,88793
280,445,92417
281,422,84946
282,363,6270
283,980,19851
284,1022,28978
285,1916,65361
286,1951,50477
287,1900,39111
288,1983,52126
289,548,33311
290,950,96655
291,1505,29621
292,521,54729
293,1152,71600
294,443,13845
295,1011,94400
296,1382,74993
297,913,67643
298,1390,98430
299,1457,90834
300,1443,94853
301,1594,96759
302,422,31896
303,760,77832
304,1659,29866
305,1891,37246
306,1422,13990
307,1266,51639
308,1309,22914
309,1079,79764
310,1652,62360
311,1401,2488
312,1430,20667
313,1154,28179
314,525,7765
315,917,68891
316,343,88686
317,1570,46614
318,1863,58231
319,1466,63729
320,920,97968
321,1875,5630
322,682,24790
323,853,68562
324,1001,53753
325,895,37662
326,1977,90207
327,1221,26284
328,1815,53843
329,383,40279
330,1189,9759
331,1343,88493
332,1929,47911
333,1779,52112
334,443,24703
335,446,64457
336,1486,42301
337,660,35296
338,1554,23460
339,1794,45065
340,1209,40995
341,1943,28539
342,1217,2386
343,453,79160
344,1133,5900
345,485,69749
346,693,61043
347,945,82997
348,759,4327
349,637,46650
350,1554,62429
351,1559,54044
352,1927,72877
353,1204,40889
354,944,10628
355,1350,13112
356,1317,92007
357,327,64564
358,1629,93328
359,1166,17933
360,207,79492
361,1337,25594
362,1943,50898
363,1718,11755
364,1970,88334
365,990,20487
366,469,78513
367,1772,48419
368,299,58129
369,1251,18062
370,1256,19003
371,1303,52554
372,403,48582
373,411,17124
374,1621,34965
375,1207,73532
376,1011,60389
377,350,4757
378,1365,33247
379,1590,7936
380,984,34318
381,1941,34460
382,770,51368
383,638,27698
384,282,44289
385,1433,33637
386,1620,60327
387,1738,2435
388,1850,17924
389,1816,60545
390,1371,20340
391,1618,43863
392,411,46918
393,1102,58634
394,507,44523
395,809,41638
396,1905,44125
397,459,90120
398,1051,18275
399,453,24634
400,1928,5930
401,1000,53852
402,255,66574
403,350,14248
404,808,86062
405,1275,51215
406,1396,96888
407,1299,1045
408,528,86040
409,1647,6388
410,393,66882
411,1928,73775
412,491,55818
413,1004,67528
414,1080,50637
415,1646,98433
416,1755,80102
417,911,60005
418,931,54842
419,1696,84606
420,348,88947
421,1039,97212
422,1857,28448
423,1809,86568
424,369,98326
425,1346,46860
426,1812,82025
427,1633,8919
428,1065,30536
429,1880,37268
430,489,9430
431,747,7713
432,796,13349
433,1870,86671
434,1337,42448
435,571,93022
436,856,86139
437,1350,19761
438,1361,57025
439,217,99306
440,1849,4749
441,939,43357
442,1291,10023
443,1031,15516
444,1829,77899
445,1493,72979
446,1533,7614
447,1070,95790
448,1534,29648
449,510,35540
450,1205,47463
451,471,12215
452,419,76734
453,1739,79416
454,875,37467
455,313,58398
456,1856,51129
457,1230,2733
458,502,19488
459,1771,45691
460,231,48585
461,1802,48150
462,418,35040
463,1997,92787
464,1569,13138
465,1078,76323
466,1364,50252
467,905,55156
468,228,33230
469,1254,90122
470,792,12139
471,1440,40531
472,957,51043
473,1736,28717
474,1574,36303
475,830,76178
476,1892,27106
477,224,81844
478,1853,31160
479,775,38829
480,1021,89118
481,1944,72266
482,1403,61088
483,1310,70448
484,516,55202
485,1500,63237
486,1345,1344
487,1599,40831
488,1878,38261
489,532,90453
490,415,9699
491,1582,96788
492,1293,46109
493,1243,14157
494,1975,27527
495,1449,58802
496,1533,37821
497,482,79296
498,714,52645
499,1625,67619
500,581,20151
501,1076,39219
502,611,66744
503,1327,15915
504,1653,47816
505,1861,25782
506,1269,67575
507,625,50411
508,1960,84972
509,1074,72696
510,1035,36272
511,1314,41495
512,997,45199
513,1153,64094
514,1385,82109
515,1846,76765
516,1927,85556
517,208,54524
518,275,53888
519,512,60172
520,863,95320
521,972,25782
522,1459,13440
523,1703,63510
524,852,78085
525,1612,49155
526,1959,31062
527,1878,91455
528,639,49019
529,1976,90715
530,379,60337
531,520,78975
532,1092,1404
533,1194,46364
534,793,4409
535,1116,6914
536,1739,23137
537,1521,55763
538,1059,37837
539,1929,24666
540,565,14086
541,511,5346
542,945,67956
543,279,22528
544,1835,19126
545,525,8229
546,1889,67259
547,678,93727
548,1948,51617
549,1935,43206
550,203,41512
551,1145,80044
552,455,4188
553,1697,50318
554,400,95622
555,221,82015
556,1566,50305
557,975,84772
558,1920,35422
559,1456,50738
560,1717,10664
561,1320,46043
562,1911,57468
563,1964,61694
564,786,33313
565,1575,20890
566,1341,63633
567,392,43153
568,875,46508
569,988,32170
570,1479,41123
571,607,37229
572,1918,98946
573,382,33196
574,1909,71015
575,235,71967
576,334,34568
577,1640,90002
578,982,78821
579,265,9388
580,561,43130
581,478,2184
582,1798,4855
583,1075,2739
584,1651,87456
585,1834,15481
586,741,75387
587,1087,67850
588,623,50225
589,1777,61111
590,364,2752
591,209,83998
592,1060,50475
593,1118,62588
594,751,58819
595,499,44707
596,1649,34881
597,1079,87358
598,886,73742
599,906,14752
600,1195,6746
601,1158,23794
602,1642,56377
603,1907,55919
604,1565,7952
605,301,99373
606,519,55230
607,1230,64809
608,1989,74740
609,533,1107
610,1009,80299
611,1183,24324
612,1541,40343
613,366,69370
614,1613,95631
615,343,64076
616,1456,26185
617,942,29997
618,1445,33303
619,1934,12916
620,1914,99089
621,931,17362
622,1448,55201
623,326,54405
624,611,94558
625,1860,40523
626,616,99607
627,891,98741
628,756,39578
629,437,94629
630,1881,27482
631,286,54792
632,1051,93743
633,1029,39238
634,303,94823
635,1894,4342
636,850,33400
637,1259,27527
638,1462,88142
639,1131,74834
640,1683,87173
641,738,64075
642,1217,35053
643,428,43232
644,747,89140
645,1974,6568
646,1011,85070
647,1986,64344
648,1187,63201
649,916,38787
650,1761,51357
651,395,39832
652,1919,10105
653,1421,59592
654,743,39274
655,1048,50640
656,979,57677
657,1749,58232
658,1799,13985
659,844,74416
660,259,63952
661,1923,2897
662,1648,17136
663,1385,27644
664,1536,62506
665,1658,25133
666,1591,73223
667,1397,11579
668,1480,16574
669,1869,39220
670,605,60033
671,1955,35466
672,782,89946
673,1271,3634
674,1390,94170
675,762,85994
676,1988,37219
677,252,89246
678,855,90446
679,1853,2289
680,430,48507
681,1218,35647
682,657,2913
683,1876,88624
684,956,6492
685,981,61936
686,235,91579
687,1225,81204
688,1663,86110
689,961,74103
690,611,6118
691,1891,54292
692,1829,57956
693,1360,29971
694,1332,69951
695,1641,65594
696,1068,20259
697,234,11842
698,1098,6642
699,1397,17339
700,895,23333
701,957,86150
702,1359,96086
703,1930,56376
704,1308,38120
705,1543,36063
706,1037,35272
707,263,62731
708,302,60891
709,1627,96647
710,1024,55351
711,912,62460
712,1266,18671
713,542,82655
714,1434,32663
715,1941,34504
716,1246,15410
717,1633,7090
718,1610,44849
719,1093,62779
720,726,11193
721,1222,9100
722,1269,53128
723,653,38936
724,693,86400
725,1382,92139
726,1813,27878
727,664,97334
728,1139,16962
729,804,98708
730,755,44802
731,1452,3543
732,932,68146
733,695,68416
734,519,89533
735,295,18879
736,1250,14005
737,902,65983
738,1213,52388
739,1050,83727
740,387,76137
741,1908,50281
742,1603,1808
743,1274,60087
744,504,61169
745,1022,76316
746,814,60245
747,1259,65650
748,673,66570
749,1685,36507
750,559,51136
751,1183,39230
752,1000,47987
753,1035,28517
754,1701,93304
755,903,43118
756,1069,9064
757,1084,23357
758,733,86568
759,1613,9774
760,1144,5047
761,285,33915
762,1827,1466
763,1492,87188
764,400,4844
765,915,58476
766,1052,51185
767,522,54817
768,1782,6697
769,273,94102
770,1078,45396
771,1293,14088
772,1543,19411
773,900,23807
774,652,35075
775,757,32529
776,1349,91177
777,873,38885
778,790,65185
779,467,20211
780,1083,89019
781,575,62560
782,1904,6971
783,1690,59522
784,656,61112
785,243,26350
786,591,63019
787,1942,25699
788,544,67493
789,1367,56254
790,699,37193
791,1754,37985
792,1941,78271
793,1932,35345
794,1690,47232
795,749,58004
796,1036,46010
797,1051,15686
798,288,14841
799,1276,49217
800,326,35659
801,944,73354
802,1585,20578
803,1926,49616
804,1130,50245
805,304,26414
806,1646,49033
807,888,15412
808,1739,68973
809,461,29810
810,495,72453
811,407,98275
812,880,40132
813,706,18421
814,320,4284
815,840,67438
816,616,35171
817,492,61338
818,1335,26921
819,595,21714
820,262,85972
821,523,20117
822,1965,71854
823,356,50954
824,1423,50061
825,1983,78679
826,441,71971
827,1746,24435
828,1109,81294
829,1805,17395
830,1262,19471
831,1618,18692
832,1276,2065
833,1599,96994
834,366,82447
835,1233,84433
836,1227,5501
837,623,49587
838,1572,16612
839,1369,19537
840,273,49674
841,765,54406
842,386,12712
843,1363,70693
844,1217,69029
845,322,93147
846,786,22409
847,767,67199
848,509,71086
849,390,81705
850,1595,46209
851,1764,16690
852,538,46599
853,1358,23393
854,443,34915
855,1502,48968
856,839,75673
857,1534,6391
858,517,86894
859,1970,7833
860,1227,98626
861,881,17708
862,1873,81580
863,1827,20005
864,1299,80927
865,639,99392
866,1128,23217
867,562,31696
868,608,1958
869,1479,91873
870,1338,3304
871,1448,28463
872,381,30589
873,1135,62873
874,1641,89746
875,1128,29398
876,1887,81251
877,324,92449
878,1298,20900
879,453,97399
880,258,13593
881,1910,2512
882,243,97892
883,1332,94929
884,1608,70739
885,1411,60095
886,1833,84998
887,1767,11002
888,1705,45495
889,337,15996
890,1806,38702
891,220,49274
892,227,48525
893,208,44669
894,1325,12559
895,1837,33677
896,466,89555
897,602,63031
898,967,17371
899,592,96910
900,1875,27586
901,1670,61017
902,1120,56788
903,1631,65707
904,859,49807
905,414,93725
906,1433,1187
907,1188,96657
908,1381,54293
909,1138,37124
910,998,37998
911,1219,1164
912,1876,31277
913,368,32074
914,1723,41973
915,540,84643
916,899,71995
917,1339,14561
918,1936,60397
919,451,16367
920,1242,98611
921,609,75066
922,307,67403
923,426,41172
924,1652,76552
925,738,56540
926,1082,12327
927,206,82366
928,368,2267
929,960,13962
930,353,20239
931,1078,57869
932,1971,37349
933,656,45112
934,1286,9600
935,477,17318
936,825,63837
937,324,24149
938,630,8989
939,1803,64787
940,948,25887
941,1348,46538
942,988,20490
943,740,30494
944,1936,5538
945,1946,62789
946,841,21783
947,1714,34721
948,1518,10820
949,258,1703
950,1826,58012
951,1446,97478
952,485,6263
953,1304,5954
954,887,28919
955,1927,27901
956,1648,53540
957,830,5026
958,1684,49681
959,936,95166
960,1927,96908
961,356,28222
962,1926,96847
963,885,95277
964,1680,85713
965,1286,72895
966,1424,54944
967,773,91389
968,296,55049
969,393,18428
970,1774,20784
971,1179,4942
972,1684,5255
973,1438,56536
974,776,8358
975,723,32616
976,1915,14680
977,808,27188
978,1487,46349
979,1150,95518
980,1233,68342
981,1248,4958
982,1830,35996
983,964,82541
984,1345,60555
985,480,73294
986,704,99493
987,338,72238
988,1905,3279
989,1493,21411
990,322,56934
991,1656,5536
992,1984,42411
993,594,32925
994,1725,38831
995,1495,83515
996,1548,21622
997,1159,84479
998,412,99883
999,608,41840
1000,765,90754
1001,798,65142
1002,1318,11952
1003,1118,59060
1004,673,57617
1005,856,78593
1006,542,5317
1007,712,59089
1008,732,24345
1009,340,96635
1010,470,41708
1011,1946,98380
1012,1770,32712
1013,311,87496
1014,1137,54982
1015,1139,14337
1016,1557,5199
1017,206,78378
1018,697,90749
1019,398,3406
1020,1397,17773
1021,1959,60932
1022,689,99426
1023,240,97964
1024,531,87124
1025,1584,73888
1026,660,64342
1027,1534,19851
1028,951,12759
1029,1675,85742
1030,575,61504
1031,1056,73841
1032,265,12223
1033,450,48919
1034,985,61990
1035,1596,92088
1036,1653,98873
1037,709,29055
1038,1846,93873
1039,1032,56804
1040,437,67480
1041,409,5114
1042,666,80052
1043,977,73181
1044,203,9390
1045,646,76282
1046,1243,92361
1047,881,70715
1048,1739,12693
1049,1985,22101
1050,1089,9261
1051,818,64690
1052,647,25195
1053,644,9455
1054,803,49594
1055,1671,32213
1056,340,31752
1057,774,72768
1058,1737,1508
1059,1426,82657
1060,253,14751
1061,1494,15199
1062,205,93245
1063,592,10309
1064,1678,1109
1065,792,58279
1066,749,2611
1067,985,29532
1068,1910,74541
1069,1392,61053
1070,1112,67623
1071,581,87618
1072,1612,58362
1073,1078,16615
1074,1383,15151
1075,1237,23838
1076,391,92075
1077,1022,56763
1078,880,39298
1079,1338,28872
1080,1858,87324
1081,1346,37204
1082,1037,47570
1083,1925,40584
1084,453,97310
1085,1753,96812
1086,472,49166
1087,678,77168
1088,1625,43119
1089,1336,84205
1090,741,9909
1091,1828,61165
1092,1949,45735
1093,852,11368
1094,1073,10689
1095,1121,3677
1096,322,19690
1097,1625,14302
1098,1786,81984
1099,1678,22206
1100,1396,84182
1101,1762,30877
1102,335,71437
1103,495,91095
1104,1963,16166
1105,1954,49064
1106,715,32826
1107,1569,60988
1108,1052,11504
1109,1766,27427
1110,248,18302
1111,329,76654
1112,490,12433
1113,1887,61126
1114,865,75014
1115,1021,26157
1116,1250,34757
1117,1316,46106
1118,590,97702
1119,1435,6889
1120,467,26471
1121,1506,87968
1122,1145,75383
1123,463,63270
1124,1111,89889
1125,1237,24707
1126,451,21366
1127,1266,24149
1128,1823,75547
1129,844,77469
1130,1608,99290
1131,357,87305
1132,1569,42951
1133,1406,64514
1134,322,17167
1135,1510,31552
1136,1761,54991
1137,349,70406
1138,596,71933
1139,1419,25255
1140,1242,32342
1141,363,28380
1142,1537,51258
1143,945,8085
1144,970,6979
1145,776,83799
1146,840,40895
1147,1697,23061
1148,754,77725
1149,1681,53753
1150,1588,20281
1151,1478,48859
1152,291,12003
1153,275,20400
1154,1716,32662
1155,1604,34112
1156,323,17770
1157,1735,6751
1158,294,71559
1159,1136,43005
1160,820,32360
1161,1680,54942
1162,1746,34638
1163,497,53589
1164,806,2126
1165,1553,43754
1166,492,75742
1167,1993,69147
1168,1581,34205
1169,1100,23166
1170,1223,67102
1171,1210,91466
1172,1402,66066
1173,1510,7809
1174,1032,98948
1175,1665,91753
1176,641,20027
1177,869,23226
1178,610,24332
1179,754,49522
1180,1346,28567
1181,802,4924
1182,341,19980
1183,1693,70811
1184,1324,91094
1185,1670,11859
1186,1775,8009
1187,1918,63845
1188,229,98202
1189,856,57047
1190,950,50374
1191,1847,79953
1192,1181,78241
1193,455,38781
1194,1075,79354
1195,1181,17923
1196,1503,33968
1197,1391,80732
1198,523,98574
1199,1578,34487
1200,1043,34701
1201,1178,74603
1202,1178,42305
1203,300,34248
1204,1149,28804
1205,583,19269
1206,1464,7157
1207,912,45360
1208,294,32956
1209,434,42449
1210,1106,95465
1211,644,90940
1212,1060,99879
1213,986,50469
1214,368,47381
1215,1125,48821
1216,799,55843
1217,1855,95685
1218,1927,26580
1219,986,15879
1220,350,56284
1221,1230,49136
1222,1165,45262
1223,737,26998
1224,1371,2674
1225,954,95897
1226,1707,61368
1227,410,89789
1228,1269,51951
1229,1241,16770
1230,1851,15076
1231,1443,38327
1232,1224,14364
1233,1627,37963
1234,433,82237
1235,632,22424
1236,757,54310
1237,448,16106
1238,244,94052
1239,1304,34040
1240,1234,37264
1241,1256,79063
1242,599,4622
1243,1534,29103
1244,1691,48806
1245,205,22001
1246,1257,53433
1247,1159,41157
1248,1230,69290
1249,873,96976
1250,1157,16233
1251,840,36472
1252,904,83853
1253,507,24949
1254,1951,12109
1255,1433,66168
1256,1556,67622
1257,1067,1388
1258,1278,12478
1259,704,13580
1260,1535,18022
1261,1136,47813
1262,1612,11002
1263,496,67266
1264,679,90376
1265,1909,55583
1266,1590,64703
1267,1415,53234
1268,1776,70444
1269,1606,50097
1270,1764,66100
1271,422,34764
1272,1808,12354
1273,1540,68532
1274,1076,57414
1275,551,15064
1276,1912,63257
1277,1965,7774
1278,698,88559
1279,774,84459
1280,1841,32184
1281,622,62460
1282,1344,34598
1283,1760,77810
1284,472,36946
1285,353,28872
1286,1926,10840
1287,297,11991
1288,1335,78467
1289,530,43125
1290,1171,28221
1291,1744,60647
1292,675,85398
1293,1184,66804
1294,1091,37351
1295,690,43979
1296,1660,46345
1297,351,79484
1298,435,68922
1299,497,44367
1300,1530,44752
1301,1768,27020
1302,685,86660
1303,1348,77264
1304,945,29171
1305,301,47683
1306,1363,8985
1307,1240,14541
1308,1252,48599
1309,334,15442
1310,499,60096
1311,1281,14143
1312,1701,23772
1313,1993,51828
1314,1664,34687
1315,768,46976
1316,995,33187
1317,915,16127
1318,1029,82086
1319,435,77236
1320,626,37928
1321,1840,88628
1322,1806,68990
1323,1331,41574
1324,357,99808
1325,1727,94800
1326,862,84753
1327,238,5352
1328,540,15148
1329,423,55162
1330,1799,40577
1331,682,63788
1332,955,98647
1333,273,64970
1334,249,75181
1335,1534,1871
1336,1270,83805
1337,923,97366
1338,1771,47817
1339,1013,71602
1340,1223,41584
1341,816,64265
1342,962,29563
1343,359,90111
1344,309,85930
1345,1551,69452
1346,1249,29572
1347,1746,32728
1348,539,66400
1349,476,95508
1350,465,86792
1351,1153,5297
1352,1005,46726
1353,1018,80748
1354,1205,5010
1355,907,76056
1356,1211,36847
1357,865,21284
1358,1023,22579
1359,1241,6900
1360,1457,5349
1361,889,92516
1362,790,13084
1363,798,88642
1364,805,35461
1365,1638,30394
1366,1537,86880
1367,1030,28979
1368,1029,14713
1369,650,50573
1370,1144,79969
1371,209,75195
1372,1699,46978
1373,1353,92514
1374,1587,23593
1375,302,38907
1376,1896,64234
1377,1324,10030
1378,1152,40022
1379,1716,14926
1380,569,29573
1381,700,92622
1382,1505,85394
1383,1205,6189
1384,303,10610
1385,1324,28216
1386,670,19576
1387,1431,73117
1388,849,72765
1389,297,95970
1390,1001,46818
1391,1407,67710
1392,1011,11550
1393,499,43347
1394,587,33186
1395,842,24950
1396,1837,33069
1397,566,39801
1398,1741,2174
1399,205,60276
1400,492,6082
1401,1185,77128
1402,1324,21152
1403,750,65864
1404,965,20242
1405,821,51004
1406,951,41131
1407,450,96357
1408,1664,43244
1409,1692,39309
1410,267,40828
1411,1404,75142
1412,1796,21590
1413,1155,67529
1414,1785,9678
1415,1635,6091
1416,1873,68178
1417,792,67718
1418,311,49968
1419,1794,19101
1420,1795,72452
1421,1043,87625
1422,780,86936
1423,234,8038
1424,761,59325
1425,1083,39694
1426,1702,71036
1427,1811,80971
1428,550,79582
1429,1433,6382
1430,1717,11857
1431,269,4047
1432,1427,24968
1433,202,13745
1434,685,2431
1435,933,8669
1436,1661,64823
1437,870,22457
1438,840,94095
1439,320,39372
1440,1478,98289
1441,500,99410
1442,213,4534
1443,351,15979
1444,1678,79879
1445,1245,8674
1446,1303,40143
1447,1716,27885
1448,356,78198
1449,624,94915
1450,1366,92917
1451,523,46535
1452,1709,5487
1453,476,62777
1454,1761,24916
1455,1445,60705
1456,1533,17274
1457,1526,47231
1458,1264,55419
1459,1244,65921
1460,1805,60070
1461,557,25314
1462,1512,48863
1463,213,40460
1464,1373,81547
1465,610,65736
1466,576,60531
1467,1606,18536
1468,451,95585
1469,1394,50689
1470,560,86465
1471,621,90586
1472,1539,87544
1473,1864,1256
1474,207,42794
1475,798,56108
1476,1924,98343
1477,1571,85750
1478,1065,36235
1479,479,33983
1480,1152,4632
1481,1570,25033
1482,663,78012
1483,236,24977
1484,617,85130
1485,1150,99301
1486,212,45567
1487,485,86367
1488,1540,83319
1489,620,26757
1490,924,26952
1491,771,80203
1492,594,16687
1493,783,22190
1494,1110,44529
1495,1552,12281
1496,1419,25267
1497,319,24701
1498,257,94485
1499,1414,52054
1500,1542,35254
1501,1339,61654
1502,247,55926
1503,670,55010
1504,1124,14837
1505,1094,29323
1506,550,84818
1507,1277,32229
1508,1295,50516
1509,327,10560
1510,1191,51574
1511,1176,74226
1512,1289,11941
1513,1470,58498
1514,810,4895
1515,1714,95207
1516,1549,82204
1517,1982,91198
1518,327,12643
1519,1037,66346
1520,859,73275
1521,1143,5580
1522,317,27700
1523,1357,65391
1524,767,13232
1525,832,79415
1526,1364,9240
1527,407,30571
1528,1414,18717
1529,1772,89987
1530,1471,75318
1531,1692,86028
1532,1985,76945
1533,1885,97943
1534,1783,64885
1535,1409,96695
1536,516,49003
1537,673,42354
1538,1598,1189
1539,589,41885
1540,383,14348
1541,764,48900
1542,1417,48876
1543,807,23221
1544,827,32548
1545,1794,95109
1546,462,11408
1547,1054,16079
1548,1674,91972
1549,1409,28145
1550,847,19747
1551,1315,29811
1552,1266,62386
1553,427,24396
1554,1414,61168
1555,518,3943
1556,1802,36194
1557,1897,63390
1558,827,64671
1559,966,52205
1560,762,78587
1561,1499,26742
1562,1836,43231
1563,483,86633
1564,1741,55171
1565,1072,27997
1566,1817,8057
1567,301,41217
1568,1288,5930
1569,262,63635
1570,1729,35541
1571,1779,39287
1572,1676,35017
1573,1878,68989
1574,1583,27924
1575,1625,58459
1576,1490,24503
1577,1816,49594
1578,1129,3472
1579,1464,71929
1580,1685,80014
1581,1120,27280
1582,1237,26379
1583,1742,39069
1584,1870,95246
1585,1992,81160
1586,1257,86678
1587,537,26545
1588,388,55633
1589,904,43609
1590,662,73611
1591,815,50182
1592,843,64253
1593,1085,80819
1594,1057,23705
1595,586,72522
1596,575,73512
1597,863,82239
1598,1161,49725
1599,628,68544
1600,290,86747
1601,534,40788
1602,1030,87781
1603,361,25474
1604,804,49403
1605,1587,79695
1606,917,48563
1607,673,49023
1608,1918,28385
1609,790,28472
1610,1830,41753
1611,1223,32145
1612,852,47387
1613,1099,49117
1614,583,29599
1615,1547,6699
1616,751,67635
1617,838,93415
1618,1037,56452
1619,1034,53441
1620,900,44571
1621,1526,4866
1622,1597,56088
1623,1451,25775
1624,1648,95626
1625,355,77931
1626,1975,33695
1627,1761,42904
1628,554,59131
1629,1278,12141
1630,386,70689
1631,338,62943
1632,1724,78972
1633,758,27204
1634,1149,54183
1635,1538,8848
1636,546,10389
1637,749,2164
1638,723,2330
1639,1901,92134
1640,1392,79441
1641,1237,10335
1642,799,37108
1643,663,91418
1644,1745,87819
1645,1056,34867
1646,1922,28571
1647,1757,80466
1648,1593,22918
1649,531,27902
1650,1848,72582
1651,631,86053
1652,453,61539
1653,929,35855
1654,1107,18788
1655,1711,11984
1656,826,15479
1657,319,65941
1658,300,43328
1659,1198,79293
1660,271,47293
1661,950,89611
1662,1797,5159
1663,680,6486
1664,943,28637
1665,317,88487
1666,658,9641
1667,1660,93879
1668,476,15521
1669,1438,71327
1670,1096,49852
1671,1905,61417
1672,1472,53770
1673,1222,65731
1674,1737,95000
1675,504,83055
1676,1440,32642
1677,1297,6133
1678,1744,48038
1679,722,85587
1680,1566,91714
1681,680,47430
1682,802,55989
1683,643,38099
1684,1483,37852
1685,960,73270
1686,531,31818
1687,1691,24358
1688,1046,93011
1689,1589,54027
1690,1463,76288
1691,1838,84973
1692,1899,39571
1693,1015,41062
1694,1004,14819
1695,742,33255
1696,230,56025
1697,1632,68522
1698,804,89142
1699,534,80908
1700,479,88391
1701,1428,71711
1702,1645,39866
1703,1466,36161
1704,406,30959
1705,1251,92426
1706,557,49072
1707,1907,46974
1708,915,14920
1709,1792,52072
1710,281,6511
1711,1407,78371
1712,1441,84469
1713,824,36477
1714,563,19023
1715,1623,71974
1716,1300,82445
1717,1738,2587
1718,237,56991
1719,1813,90693
1720,1321,85711
1721,528,83077
1722,578,37965
1723,1120,94021
1724,1483,2528
1725,919,84989
1726,1997,87169
1727,842,78770
1728,704,57198
1729,1567,78453
1730,1081,57317
1731,874,10394
1732,1449,69282
1733,1670,90990
1734,1309,1154
1735,1168,49231
1736,1601,24387
1737,1416,14366
1738,434,46989
1739,1263,33344
1740,1783,92815
1741,1703,24743
1742,1065,27057
1743,395,67896
1744,1934,44789
1745,1808,53501
1746,1316,61599
1747,1592,99873
